Title,Ingredients,Summary,Image_Name,Cleaned_Ingredients
Sloppy Joe Shirred Eggs With Spinach,"['1 medium carrot, top removed and cut into about 6 pieces', '1 (14.5-ounce) can diced tomatoes, or 2 scant cups roughly chopped fresh tomatoes', '2 tablespoons extra virgin olive oil, divided', '3 garlic cloves, minced', '8 ounces fresh spinach (4 cups packed)', '3 teaspoons kosher salt, divided', '1 pound ground turkey', '2 teaspoons ground cumin', '1 teaspoon smoked paprika', '½ teaspoon ground black pepper', '½ cup R-Rated Onions', '2 tablespoons red wine vinegar', '4 large eggs Parmigiano Reggiano, for serving (optional)']","In an ovenproof 12-inch sauté pan or skillet set over medium heat, cook 1 tablespoon of the olive oil and the minced garlic. Combine the carrot, tomatoes plus their juice, and 1 cup water in a blender. Top each section of spinach with a cracked egg.",sloppy-joe-shirred-eggs-with-spinach-vivian-howard,"['1 medium carrot, top removed and cut into about 6 pieces', '1 (14.5-ounce) can diced tomatoes, or 2 scant cups roughly chopped fresh tomatoes', '2 tablespoons extra virgin olive oil, divided', '3 garlic cloves, minced', '8 ounces fresh spinach (4 cups packed)', '3 teaspoons kosher salt, divided', '1 pound ground turkey', '2 teaspoons ground cumin', '1 teaspoon smoked paprika', '½ teaspoon ground black pepper', '½ cup R-Rated Onions', '2 tablespoons red wine vinegar', '4 large eggs Parmigiano Reggiano', 'for serving (optional)']"
R-Rated Onions,"['4–5 large or 6–8 medium yellow or white onions', '1 Tbsp olive or vegetable oil', '1 tsp kosher salt']"," Peel your onions and cut them in half through their stem ends. Slice them thinly with the grain, following the line from root to stem rather than cutting the onion across its belly.",r-rated-caramelized-onions-vivian-howard,"['4–5 large or 6–8 medium yellow or white onions', '1 Tbsp olive or vegetable oil', '1 tsp kosher salt']"
Miso-Squash Ramen,"['1 Tbsp. extra-virgin olive oil', '1 Tbsp. white miso', '2 tsp. pure maple syrup or brown sugar', '1 tsp. regular soy sauce or tamari', '1 small kabocha squash (about 2 lb.), peeled, cut into 1""-thick wedges, or 1 small butternut squash (about 2 lb.), peeled, cut into 1"" pieces', '1 Tbsp. extra-virgin olive oil', '1 (1"") piece ginger, coarsely chopped', '2 garlic cloves, coarsely chopped', '4 cups low-sodium vegetable broth', '2 Tbsp. white miso', 'Kosher salt, freshly ground pepper', '1 large bunch broccolini (8–10 oz.), halved crosswise, thicker stalks halved lengthwise', '4 (5-oz.) packages wavy ramen noodles, preferably fresh', 'Handful of cilantro leaves with tender stems']","Roast squash until fork-tender (it will be a little caramelized in spots), 25–30 minutes. Set 8 roasted squash wedges (or about 2 cups if using butternut) aside for serving.",miso-squash-ramen-hetty-mckinnon,"['1 Tbsp. extra-virgin olive oil', '1 Tbsp. white miso', '2 tsp. pure maple syrup or brown sugar', '1 tsp. regular soy sauce or tamari', '1 small kabocha squash (about 2 lb.), peeled, cut into 1""-thick wedges, or 1 small butternut squash (about 2 lb.), peeled, cut into 1"" pieces', '1 Tbsp. extra-virgin olive oil', '1 (1"") piece ginger, coarsely chopped', '2 garlic cloves, coarsely chopped', '4 cups low-sodium vegetable broth', '2 Tbsp. white miso', 'Kosher salt, freshly ground pepper', '1 large bunch broccolini (8–10 oz.), halved crosswise, thicker stalks halved lengthwise', '4 (5-oz.) packages wavy ramen noodles, preferably fresh', 'Handful of cilantro leaves with tender stems']"
Spicy Coconut Pumpkin Soup,"['2 tablespoons coconut oil', '1 pound calabaza pumpkin, seeded, peeled, and cut into chunks', '1 small onion, minced', '3 garlic cloves, minced', '1 ají dulce pepper, seeded and minced', '1 teaspoon dark brown sugar', '½ teaspoon ground cumin', '2 cups coconut milk', '1 cup chicken broth or vegetable broth', 'Salt and freshly ground black pepper', '2 tablespoons chopped fresh cilantro']","Coconut oil, brown sugar, cumin, garlic, ají dulce, coconut milk and broth. Add the pumpkin and simmer for 15 minutes.",spicy-coconut-pumpkin-soup,"['2 tablespoons coconut oil', '1 pound calabaza pumpkin, seeded, peeled, and cut into chunks', '1 small onion, minced', '3 garlic cloves, minced', '1 ají dulce pepper, seeded and minced', '1 teaspoon dark brown sugar', '½ teaspoon ground cumin', '2 cups coconut milk', '1 cup chicken broth or vegetable broth', 'Salt and freshly ground black pepper', '2 tablespoons chopped fresh cilantro']"
Baigan Chokha,"['2 large Italian eggplants', '1 tablespoon canola oil', '½ medium onion, chopped', '2 cloves garlic, finely chopped', '1 small tomato, chopped', '¼ teaspoon coarse salt, or to taste', 'Freshly ground black pepper to taste', '1 tablespoon coarsely chopped cilantro', 'Roti, for serving']","Eggplants should be soft to the touch and pulpy, and should easily come away from the skin. Prepare a hot grill or preheat the broiler. Garnish with the cilantro and serve with roti.",baigan-chokha-trinidadian-broiled-grilled-mashed-eggplant,"['2 large Italian eggplants', '1 tablespoon canola oil', '½ medium onion, chopped', '2 cloves garlic, finely chopped', '1 small tomato, chopped', '¼ teaspoon coarse salt, or to taste', 'Freshly ground black pepper to taste', '1 tablespoon coarsely chopped cilantro', 'Roti', 'for serving']"
Dad’s Curried Chicken,"['1 (4-pound) chicken, cut into 8 pieces, skin removed', '1 tablespoon freshly squeezed lime juice', '2 tablespoons Green Seasoning', '1 teaspoon coarse salt', '1 Scotch bonnet pepper or other hot red chili pepper, finely chopped', '2 cloves garlic, crushed', '¼ cup Trinidad Curry Powder', '2 tablespoons canola oil', '1 medium onion, chopped', '1 cup chicken stock or water', 'Roti or white rice, for serving']","Combine the curry powder with just enough water to form a thick paste. Heat the oil in a heavy-bottomed pot. Add the curry paste and onion. Cook, stirring constantly, for 1 to 2 minutes over medium-low heat.",dads-trinidadian-curried-chicken,"['1 (4-pound) chicken, cut into 8 pieces, skin removed', '1 tablespoon freshly squeezed lime juice', '2 tablespoons Green Seasoning', '1 teaspoon coarse salt', '1 Scotch bonnet pepper or other hot red chili pepper, finely chopped', '2 cloves garlic, crushed', '¼ cup Trinidad Curry Powder', '2 tablespoons canola oil', '1 medium onion, chopped', '1 cup chicken stock or water', 'Roti or white rice', 'for serving']"
Trinidad Curry Powder,"['6 cardamom pods', '1 cup coriander seeds', '¼ cup cumin seeds', '1 Tbsp. mustard seeds', '1 Tbsp. fenugreek seeds', '10-15 curry leaves (optional)', '¼ cup whole black peppercorns', '6 whole cloves', '⅓ cup plus 1 Tbsp. ground turmeric']","Cardamom seeds, coriander, seeds, cumin seeds, mustard seeds, fenugreek seeds, and curry leaves toasted. Grind the mixture to a find powder. Store in an airtight container.",trinidad-curry-powder,"['6 cardamom pods', '1 cup coriander seeds', '¼ cup cumin seeds', '1 Tbsp. mustard seeds', '1 Tbsp. fenugreek seeds', '10-15 curry leaves (optional)', '¼ cup whole black peppercorns', '6 whole cloves', '⅓ cup plus 1 Tbsp. ground turmeric']"
Shrimp Creole,"['3 garlic cloves, minced', '2 large onions, chopped fine', '1 cup finely chopped celery (about 2 stalks)', '1 red bell pepper, cut into ½-inch dice', '½ green bell pepper, cut into ½-inch dice', '2 tablespoons olive oil', '2 cups chicken broth', '1 (28-ounce) can whole tomatoes, drained and chopped', '1 bay leaf', '1 teaspoon ground cumin', '1 teaspoon salt, or to taste', '½ teaspoon freshly ground black pepper', '1½ pounds large shrimp (about 32), shelled and deveined', 'Accompaniment: 1 cup uncooked rice, prepared according to package instructions but without butter or margarine']","Garlic, onions, celery, and bell peppers cook in oil over moderately low heat. Add all remaining ingredients except shrimp and simmer, uncovered, 30 minutes. Stir in shrimp and cook, covered, over moderately high heat, stirring occasionally, until shrimp are cooked through, about 5 minutes.",shrimp-creole-14653,"['3 garlic cloves, minced', '2 large onions, chopped fine', '1 cup finely chopped celery (about 2 stalks)', '1 red bell pepper, cut into ½-inch dice', '½ green bell pepper, cut into ½-inch dice', '2 tablespoons olive oil', '2 cups chicken broth', '1 (28-ounce) can whole tomatoes, drained and chopped', '1 bay leaf', '1 teaspoon ground cumin', '1 teaspoon salt, or to taste', '½ teaspoon freshly ground black pepper', '1½ pounds large shrimp (about 32), shelled and deveined', 'Accompaniment: 1 cup uncooked rice', 'prepared according to package instructions but without butter or margarine']"
Green Seasoning,"['3 Tbsp. chopped fresh chives', '1 Tbsp. chopped fresh shado beni or cilantro leaves', '2 Tbsp. chopped fresh thyme', '1 Tbsp. chopped fresh oregano', '1 Tbsp. chopped fresh parsley', '4 cloves garlic']","Use immediately, or store in a tightly sealed glass jar in the refrigerator for up to 1 week. Process all the ingredients in a food processor until the mixture forms a thick paste.",trinidadian-green-seasoning,"['3 Tbsp. chopped fresh chives', '1 Tbsp. chopped fresh shado beni or cilantro leaves', '2 Tbsp. chopped fresh thyme', '1 Tbsp. chopped fresh oregano', '1 Tbsp. chopped fresh parsley', '4 cloves garlic']"
Chicken Pelau,"['1 cup dry or 1 (12-ounce) can pigeon peas, pinto beans, or black-eyed peas', '2 cups long-grain rice', '3 tablespoons canola oil', '3/4 cup sugar (white or brown)', '1 (3-pound) chicken, cut into 8 pieces, skin removed', '1 small onion, chopped', '1 clove garlic, finely chopped', '1 cup coconut milk', '1 bay leaf', '2 teaspoons Green Seasoning', '1/2 cup chopped parsley', '1 sprig thyme', '2 carrots, peeled and chopped', '5 scallions, chopped (white and green parts)', 'Kosher salt', '2 cups cubed fresh calabaza or butternut squash', '1 small whole Scotch bonnet pepper', '1/2 cup ketchup', '1 tablespoon butter']","In Tobago, pelau is often made with crab. West Indian pumpkin (also called calabaza) is ideal for this recipe. Chicken is the most common meat in pelau.",pelau-234498,"['1 cup dry or 1 (12-ounce) can pigeon peas, pinto beans, or black-eyed peas', '2 cups long-grain rice', '3 tablespoons canola oil', '3/4 cup sugar (white or brown)', '1 (3-pound) chicken, cut into 8 pieces, skin removed', '1 small onion, chopped', '1 clove garlic, finely chopped', '1 cup coconut milk', '1 bay leaf', '2 teaspoons Green Seasoning', '1/2 cup chopped parsley', '1 sprig thyme', '2 carrots, peeled and chopped', '5 scallions, chopped (white and green parts)', 'Kosher salt', '2 cups cubed fresh calabaza or butternut squash', '1 small whole Scotch bonnet pepper', '1/2 cup ketchup', '1 tablespoon butter']"
Our Favorite Creamy Mashed Potatoes,"['4 pounds Yukon Gold potatoes, peeled, cut into 2"" pieces', '6 large garlic cloves, peeled', '1 tablespoon plus 2 teaspoons kosher salt, divided, plus more', '1 1/4 cups whole milk', '4 thyme sprigs', '3/4 cup (1 1/2 sticks) plus 2 tablespoons unsalted butter, divided', '3/4 teaspoon freshly ground black pepper, plus more', '1/2 cup sour cream', 'A potato ricer or food mill']","Mashed potatoes can be made 2 hours ahead; cover and store at room temperature. Or chill, covered, up to 8 hours.",our-favorite-creamy-mashed-potatoes,"['4 pounds Yukon Gold potatoes, peeled, cut into 2"" pieces', '6 large garlic cloves, peeled', '1 tablespoon plus 2 teaspoons kosher salt, divided, plus more', '1 1/4 cups whole milk', '4 thyme sprigs', '3/4 cup (1 1/2 sticks) plus 2 tablespoons unsalted butter, divided', '3/4 teaspoon freshly ground black pepper, plus more', '1/2 cup sour cream', 'A potato ricer or food mill']"
Remember the Alimony,"['¾ oz (22 ml) London Dry gin', '1½ oz (45 ml) Cynar', '1½ oz (45 ml) Fino sherry', 'Orange twist, to garnish']",Combine all the ingredients in a chilled rocks glass. Add one large ice cube and stir for 10 seconds. Garnish with an orange twist.,remember-the-alimony-cocktail,"['¾ oz (22 ml) London Dry gin', '1½ oz (45 ml) Cynar', '1½ oz (45 ml) Fino sherry', 'Orange twist', 'to garnish']"
Creole Cream Cheesecake With Caramel-Apple Topping,"['2 cups graham cracker crumbs (about 16 whole crackers)', '3 tablespoons granulated sugar', '3 tablespoons firmly packed light brown sugar', '1⁄4 teaspoon kosher salt', '1⁄2 cup unsalted butter, melted', '2 pounds cream cheese, at room temperature', '1 cup granulated sugar', '1⅓ cups Creole Cream Cheese', '1 teaspoon vanilla bean paste', '2 eggs, at room temperature', 'Ingredient Info: You can substitute 1 cup sour cream mixed with 1⁄4 cup buttermilk for the 1⅓ cups Creole Cream Cheese.', '3¾ tablespoons unsalted butter', '3⁄4 cup granulated sugar', '1⁄4 cup firmly packed light brown sugar', '1½ tablespoons honey', '4 cups peeled, cored, and evenly chopped Granny Smith apples (about 7)', '1½ teaspoons finely grated lemon zest', '1 tablespoon fresh lemon juice', '3⁄4 teaspoon kosher salt', '3⁄4 teaspoon ground cinnamon', '1⁄3 teaspoon ground cardamom', '1⁄3 teaspoon ground ginger', '1 teaspoon vanilla extract']","In a large heavy-bottomed sauté pan, heat the butter until melted. Stir in the granulated sugar, brown sugar, and honey and let cook until bubbling. Add the apples and toss to coat. Cook for about 4 minutes, or until the apples just start to soften.",creole-cream-cheesecake-with-caramel-apple-topping,"['2 cups graham cracker crumbs (about 16 whole crackers)', '3 tablespoons granulated sugar', '3 tablespoons firmly packed light brown sugar', '1⁄4 teaspoon kosher salt', '1⁄2 cup unsalted butter, melted', '2 pounds cream cheese, at room temperature', '1 cup granulated sugar', '1⅓ cups Creole Cream Cheese', '1 teaspoon vanilla bean paste', '2 eggs, at room temperature', 'Ingredient Info: You can substitute 1 cup sour cream mixed with 1⁄4 cup buttermilk for the 1⅓ cups Creole Cream Cheese.', '3¾ tablespoons unsalted butter', '3⁄4 cup granulated sugar', '1⁄4 cup firmly packed light brown sugar', '1½ tablespoons honey', '4 cups peeled, cored, and evenly chopped Granny Smith apples (about 7)', '1½ teaspoons finely grated lemon zest', '1 tablespoon fresh lemon juice', '3⁄4 teaspoon kosher salt', '3⁄4 teaspoon ground cinnamon', '1⁄3 teaspoon ground cardamom', '1⁄3 teaspoon ground ginger', '1 teaspoon vanilla extract']"
Creole Cream Cheese,"['2 quarts skim milk', '1⁄4 cup buttermilk', '1 rennet tablet']",Warm the milk and buttermilk to 85°F. Add one-quarter of the rennet tablet and transfer the mixture to a plastic container or bowl. Cover with plastic wrap and then poke a few holes to allow the steam to escape. Let stand at room temperature in a cool spot in your house for 48 hours.,creole-cream-cheese,"['2 quarts skim milk', '1⁄4 cup buttermilk', '1 rennet tablet']"
Buss Up Shut (Paratha Roti),"['2¼ tsp. nonfat dry milk powder', '2 tsp. baking powder', '2 tsp. granulated sugar or light brown sugar', '2 cups (240 g) all-purpose flour, plus more for dusting', '1 Tbsp. vegetable oil, plus more', '2 Tbsp. vegetable shortening, room temperature', '1 Tbsp. ghee, unsalted butter, or vegan butter, room temperature']","Whisk milk powder, baking powder, granulated sugar, and 2 cups (240 g) flour in a large shallow bowl. Add about a fourth of ¾ cup warm water (110°) and mix in a wide circular motion with your fingers to gently combine (do not knead)",buss-up-shut-paratha-roti-ramin-ganeshram,"['2¼ tsp. nonfat dry milk powder', '2 tsp. baking powder', '2 tsp. granulated sugar or light brown sugar', '2 cups (240 g) all-purpose flour, plus more for dusting', '1 Tbsp. vegetable oil, plus more', '2 Tbsp. vegetable shortening, room temperature', '1 Tbsp. ghee', 'unsalted butter', 'or vegan butter', 'room temperature']"
Best Deviled Eggs,"['6 large eggs', '1/4 cup mayonnaise', '1 teaspoon Dijon mustard', '1/8 teaspoon cayenne', 'Garnishes: paprika and chopped fresh chives', 'Pastry bag fitted with 1/2-inch star tip (optional)']","Peel eggs and halve lengthwise. Carefully remove yolks and mash in a bowl with a fork. Add mayonnaise, mustard, and cayenne and stir with fork. Fill pastry bag with yolk mixture and pipe into egg whites.",deviled-eggs-106562,"['6 large eggs', '1/4 cup mayonnaise', '1 teaspoon Dijon mustard', '1/8 teaspoon cayenne', 'Garnishes: paprika and chopped fresh chives', 'Pastry bag fitted with 1/2-inch star tip (optional)']"
Mango Curry,"['2 green, unripe mangoes, peeled and sliced (2 cups)', '4 shallots, thinly sliced (about ½ cup)', '4 Indian or Thai green chiles, halved lengthwise', '1 (1-inch) piece ginger, peeled and cut into thin matchsticks', '3 cloves garlic, cut into thin matchsticks', '3 Tbsp coconut vinegar or white vinegar', '1½ tsp salt', '3 cups coconut milk', '1 Tbsp coconut oil', '1½ tsp black mustard seeds', '4 dried red chiles, snapped in half', '20 curry leaves', 'Fried Onions for garnish (optional)', 'Basmati Rice to serve']","Tempering is a traditional method of extracting optimal flavor from Indian spices. Reducing the heat a little before adding the spices prevents the spices from burning. If they do burn, simply start again with fresh spices.",mango-curry-joe-thottungal,"['2 green, unripe mangoes, peeled and sliced (2 cups)', '4 shallots, thinly sliced (about ½ cup)', '4 Indian or Thai green chiles, halved lengthwise', '1 (1-inch) piece ginger, peeled and cut into thin matchsticks', '3 cloves garlic, cut into thin matchsticks', '3 Tbsp coconut vinegar or white vinegar', '1½ tsp salt', '3 cups coconut milk', '1 Tbsp coconut oil', '1½ tsp black mustard seeds', '4 dried red chiles, snapped in half', '20 curry leaves', 'Fried Onions for garnish (optional)', 'Basmati Rice to serve']"
Iced Café de Olla,"['¾ cup grated piloncillo or (packed) dark brown sugar', '1 (3"") canela or cinnamon stick', '5 cardamom pods, cracked', '5 allspice berries', '1 tsp. black peppercorns', 'Pinch of kosher salt', '3 wide strips orange zest', '5–8 cups cold-brew coffee', 'Unsweetened coconut milk or half-and-half (for serving)']","Piloncillo, canela, cardamom, allspice, peppercorns, salt, and 1 cup water to a boil. Add orange zest; let cool.",iced-cafe-de-olla,"['¾ cup grated piloncillo or (packed) dark brown sugar', '1 (3"") canela or cinnamon stick', '5 cardamom pods, cracked', '5 allspice berries', '1 tsp. black peppercorns', 'Pinch of kosher salt', '3 wide strips orange zest', '5–8 cups cold-brew coffee', 'Unsweetened coconut milk or half-and-half (for serving)']"
Pumpkin Dutch Baby With Pumpkin Butter,"['3 large eggs, room temperature', '1 (15-ounce) can pumpkin purée, divided', '1 cup milk, room temperature', '3 Tbsp. unsalted butter, room temperature, divided', '1 cup all-purpose flour', '1 ½ tsp. cinnamon, divided', '¼ tsp. allspice', '¼ tsp. ground ginger', '¼ tsp. nutmeg', 'Kosher salt', '½ cup apple cider or juice', '3 Tbsp. maple syrup', 'Powdered sugar, for serving']","Pumpkin butter, pumpkin purée, eggs, milk, cinnamon, allspice, ginger, nutmeg, salt, and butter are all needed. Dutch baby batter is made by blending 3 large eggs in a blender for 1 minute.",pumpkin-dutch-baby-recipe,"['3 large eggs, room temperature', '1 (15-ounce) can pumpkin purée, divided', '1 cup milk, room temperature', '3 Tbsp. unsalted butter, room temperature, divided', '1 cup all-purpose flour', '1 ½ tsp. cinnamon, divided', '¼ tsp. allspice', '¼ tsp. ground ginger', '¼ tsp. nutmeg', 'Kosher salt', '½ cup apple cider or juice', '3 Tbsp. maple syrup', 'Powdered sugar', 'for serving']"
Braised Chicken Legs With Grapes and Fennel,"['4 chicken legs (thigh and drumstick; about 3½ lb.), patted dry', '4½ tsp. kosher salt, divided', '2 Tbsp. extra-virgin olive oil, divided', '2 medium fennel bulbs (about 1 lb.), plus ¼ cup coarsely chopped fronds', '1 lb. Red Flame or green table grapes, stems removed (about 2 cups)', '1 cup unsalted chicken broth', '¼ cup honey', '4 tsp. Calabrian chile paste or chopped Calabrian chiles', '1 Tbsp. red wine vinegar']","Swirl 1 Tbsp. oil in a large Dutch oven or other heavy pot to coat and heat over medium-high. Place 2 chicken legs, skin side down, in pot, making sure skin is in direct contact with pan. Cook, undisturbed, until dark golden, about 5 minutes.",braised-chicken-legs-with-grapes-and-fennel,"['4 chicken legs (thigh and drumstick; about 3½ lb.), patted dry', '4½ tsp. kosher salt, divided', '2 Tbsp. extra-virgin olive oil, divided', '2 medium fennel bulbs (about 1 lb.), plus ¼ cup coarsely chopped fronds', '1 lb. Red Flame or green table grapes, stems removed (about 2 cups)', '1 cup unsalted chicken broth', '¼ cup honey', '4 tsp. Calabrian chile paste or chopped Calabrian chiles', '1 Tbsp. red wine vinegar']"
Old-Fashioned Scalloped Potatoes,"['2 cups thinly sliced onion', '9 tablespoons unsalted butter', '6 tablespoons all-purpose flour', '3 1/2 cups milk', '2 1/2 pounds boiling potatoes', '1 1/2 cups coarsely grated sharp Cheddar (about 6 ounces)', '1/3 cup dry bread crumbs']","Peel the potatoes and slice them ⅛-inch thick. In a skillet, cook the onion and 2 tablespoons of the butter over moderately low heat, stirring, until it is very soft. Spread about one third of the sauce in the bottom of a well-buttered 3-quart gratin dish at least 2 ½-inches deep.",old-fashioned-scalloped-potatoes-10270,"['2 cups thinly sliced onion', '9 tablespoons unsalted butter', '6 tablespoons all-purpose flour', '3 1/2 cups milk', '2 1/2 pounds boiling potatoes', '1 1/2 cups coarsely grated sharp Cheddar (about 6 ounces)', '1/3 cup dry bread crumbs']"
Yogurt and Spice Roasted Salmon,"['500g skinless salmon fillet, cut into 4cm cubes', '4 tablespoons Greek yogurt', '1 tablespoon garlic granules', '1 heaped tablespoon rose harissa', '1 teaspoon ground turmeric', '1 teaspoon paprika', 'Finely grated zest of 1 unwaxed lime and a good squeeze of juice', '1 teaspoon olive oil', 'Generous amount of Maldon sea salt flakes and freshly ground black pepper', 'Tortilla wraps', 'Sliced tomatoes', 'Finely sliced onion', 'Coriander leaves', 'Greek yogurt']",Mix all the marinade ingredients together in a mixing bowl. Preheat your oven to its highest setting. Line a baking tray with baking paper.Spread the salmon out on the prepared baking tray and roast for 10 minutes.,easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour,"['500g skinless salmon fillet, cut into 4cm cubes', '4 tablespoons Greek yogurt', '1 tablespoon garlic granules', '1 heaped tablespoon rose harissa', '1 teaspoon ground turmeric', '1 teaspoon paprika', 'Finely grated zest of 1 unwaxed lime and a good squeeze of juice', '1 teaspoon olive oil', 'Generous amount of Maldon sea salt flakes and freshly ground black pepper', 'Tortilla wraps', 'Sliced tomatoes', 'Finely sliced onion', 'Coriander leaves', 'Greek yogurt']"
Pita,"['1½ cups warm water', '1 teaspoon instant yeast', '4½ cups (540 grams) bread flour, divided, plus more as needed', '2 tablespoons canola oil, plus more for your bowl', '3½ teaspoons Morton kosher salt']","Combine the water and yeast in a large mixing bowl (if you have a stand mixer, use that bowl) Reserve ½ cup (60 grams) bread flour and add the remaining 4 cups to the mixing bowl along with the canola oil. When the dough is ready, lightly flour a work surface, and use a bench scraper or thin metal spatula to coax one piece into your palm. Dust a little more flour on the top of the dough and onto your rolling pin. Roll it in brisk, small circles on the countertop so it tightens itself into a smoother, more taut ball.Space",fresh-homemade-pita-alon-shaya,"['1½ cups warm water', '1 teaspoon instant yeast', '4½ cups (540 grams) bread flour, divided, plus more as needed', '2 tablespoons canola oil, plus more for your bowl', '3½ teaspoons Morton kosher salt']"
Veselka's Famous Borscht,"['3 pounds (10 to 12) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about ¾ to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into ½-inch dice', 'One 15-ounce can lima beans, drained and rinsed', 'Salt']","To make the “beet water,” roughly chop 2 pounds of the beets (select the smaller ones) Place the chopped beets in a large stockpot. Add 10 cups of water and 1 tablespoon vinegar. Place the stockpot over high heat and bring to a boil.",veselkas-famous-borscht,"['3 pounds (10 to 12) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about ¾ to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into ½-inch dice', 'One 15-ounce can lima beans, drained and rinsed', 'Salt']"
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,"['4 5–6-oz. skin-on red snapper fillets, patted dry', '¼ tsp. okra salt or kosher salt, plus more', 'Alligator pepper or freshly ground black pepper', '½ tsp. cubeb pepper or Ashanti pepper (uziza)', '½ green or medium-ripe papaya, peeled, insides discarded', '1 small bunch cilantro', '2 Tbsp. extra-virgin olive oil', '1 small red onion, coarsely chopped', '1 garlic clove, coarsely chopped', '1 1"" piece ginger, peeled, coarsely chopped (unpeeled if organic)', '¼–½ tsp. ground dried bird chiles or other hot chile powder', '1 lemon, halved', '1 lb. puna, white yams, or sweet potatoes (2–3)', '1 tsp. coconut sugar or dark brown sugar', '1½ tsp. kosher salt, divided', '3 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', '½ tsp. chile powder', 'Drunk Apricot Shito (for serving)', 'A spice mill or mortar and pestle']","Coat fillets all over with marinade, rubbing into score marks. Roast chips, turning halfway through, until golden brown and crisp. Serve with shito and lemon wedges alongside.",ghanian-snapper-with-baked-yam-chips,"['4 5–6-oz. skin-on red snapper fillets, patted dry', '¼ tsp. okra salt or kosher salt, plus more', 'Alligator pepper or freshly ground black pepper', '½ tsp. cubeb pepper or Ashanti pepper (uziza)', '½ green or medium-ripe papaya, peeled, insides discarded', '1 small bunch cilantro', '2 Tbsp. extra-virgin olive oil', '1 small red onion, coarsely chopped', '1 garlic clove, coarsely chopped', '1 1"" piece ginger, peeled, coarsely chopped (unpeeled if organic)', '¼–½ tsp. ground dried bird chiles or other hot chile powder', '1 lemon, halved', '1 lb. puna, white yams, or sweet potatoes (2–3)', '1 tsp. coconut sugar or dark brown sugar', '1½ tsp. kosher salt, divided', '3 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', '½ tsp. chile powder', 'Drunk Apricot Shito (for serving)', 'A spice mill or mortar and pestle']"
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"['4 oz. dried apricots', '¼ cup dark rum or arrack', '1 Tbsp. unsalted butter', '¼ tsp. ground cinnamon', '3 Tbsp. plus 1 tsp. coconut sugar or dark brown sugar', '2 grains of selim pods', '½ tsp. cubeb pepper or Ashanti pepper (uziza)', '½ cup peanut oil or vegetable oil', '1 medium white onion, finely chopped', '1 small red onion, thinly sliced', '2 garlic cloves, coarsely chopped', '1 1"" piece ginger, peeled, finely grated (unpeeled if organic)', '1 Tbsp. crushed red pepper flakes', '1 tsp. chopped rosemary', '1 tsp. chopped thyme', '¾ tsp. dried prawn or shrimp powder', '1 tsp. okra salt or kosher salt, plus more', '2 Tbsp. tomato purée', '3–4 Tbsp. dried chile powder', '⅔ cups low-sodium chicken broth', '1 Scotch bonnet or habanero chile, pierced a few times with a knife', 'A spice mill or mortar and pestle']",West African pantry staples can be found at Zoe's Ghana Kitchen. The amount of chile described in this recipe is what I would classify as pretty hot.,drunk-apricot-shito-ghanaian-hot-pepper-sauce,"['4 oz. dried apricots', '¼ cup dark rum or arrack', '1 Tbsp. unsalted butter', '¼ tsp. ground cinnamon', '3 Tbsp. plus 1 tsp. coconut sugar or dark brown sugar', '2 grains of selim pods', '½ tsp. cubeb pepper or Ashanti pepper (uziza)', '½ cup peanut oil or vegetable oil', '1 medium white onion, finely chopped', '1 small red onion, thinly sliced', '2 garlic cloves, coarsely chopped', '1 1"" piece ginger, peeled, finely grated (unpeeled if organic)', '1 Tbsp. crushed red pepper flakes', '1 tsp. chopped rosemary', '1 tsp. chopped thyme', '¾ tsp. dried prawn or shrimp powder', '1 tsp. okra salt or kosher salt, plus more', '2 Tbsp. tomato purée', '3–4 Tbsp. dried chile powder', '⅔ cups low-sodium chicken broth', '1 Scotch bonnet or habanero chile, pierced a few times with a knife', 'A spice mill or mortar and pestle']"
