Title,Ingredients,Summary,Image_Name,Cleaned_Ingredients
Sloppy Joe Shirred Eggs With Spinach,"['1 medium carrot, top removed and cut into about 6 pieces', '1 (14.5-ounce) can diced tomatoes, or 2 scant cups roughly chopped fresh tomatoes', '2 tablespoons extra virgin olive oil, divided', '3 garlic cloves, minced', '8 ounces fresh spinach (4 cups packed)', '3 teaspoons kosher salt, divided', '1 pound ground turkey', '2 teaspoons ground cumin', '1 teaspoon smoked paprika', '½ teaspoon ground black pepper', '½ cup R-Rated Onions', '2 tablespoons red wine vinegar', '4 large eggs Parmigiano Reggiano, for serving (optional)']","In an ovenproof 12-inch sauté pan or skillet set over medium heat, cook 1 tablespoon of the olive oil and the minced garlic. Combine the carrot, tomatoes plus their juice, and 1 cup water in a blender. Top each section of spinach with a cracked egg.",sloppy-joe-shirred-eggs-with-spinach-vivian-howard,"['1 medium carrot, top removed and cut into about 6 pieces', '1 (14.5-ounce) can diced tomatoes, or 2 scant cups roughly chopped fresh tomatoes', '2 tablespoons extra virgin olive oil, divided', '3 garlic cloves, minced', '8 ounces fresh spinach (4 cups packed)', '3 teaspoons kosher salt, divided', '1 pound ground turkey', '2 teaspoons ground cumin', '1 teaspoon smoked paprika', '½ teaspoon ground black pepper', '½ cup R-Rated Onions', '2 tablespoons red wine vinegar', '4 large eggs Parmigiano Reggiano', 'for serving (optional)']"
R-Rated Onions,"['4–5 large or 6–8 medium yellow or white onions', '1 Tbsp olive or vegetable oil', '1 tsp kosher salt']"," Peel your onions and cut them in half through their stem ends. Slice them thinly with the grain, following the line from root to stem rather than cutting the onion across its belly.",r-rated-caramelized-onions-vivian-howard,"['4–5 large or 6–8 medium yellow or white onions', '1 Tbsp olive or vegetable oil', '1 tsp kosher salt']"
Miso-Squash Ramen,"['1 Tbsp. extra-virgin olive oil', '1 Tbsp. white miso', '2 tsp. pure maple syrup or brown sugar', '1 tsp. regular soy sauce or tamari', '1 small kabocha squash (about 2 lb.), peeled, cut into 1""-thick wedges, or 1 small butternut squash (about 2 lb.), peeled, cut into 1"" pieces', '1 Tbsp. extra-virgin olive oil', '1 (1"") piece ginger, coarsely chopped', '2 garlic cloves, coarsely chopped', '4 cups low-sodium vegetable broth', '2 Tbsp. white miso', 'Kosher salt, freshly ground pepper', '1 large bunch broccolini (8–10 oz.), halved crosswise, thicker stalks halved lengthwise', '4 (5-oz.) packages wavy ramen noodles, preferably fresh', 'Handful of cilantro leaves with tender stems']","Roast squash until fork-tender (it will be a little caramelized in spots), 25–30 minutes. Set 8 roasted squash wedges (or about 2 cups if using butternut) aside for serving.",miso-squash-ramen-hetty-mckinnon,"['1 Tbsp. extra-virgin olive oil', '1 Tbsp. white miso', '2 tsp. pure maple syrup or brown sugar', '1 tsp. regular soy sauce or tamari', '1 small kabocha squash (about 2 lb.), peeled, cut into 1""-thick wedges, or 1 small butternut squash (about 2 lb.), peeled, cut into 1"" pieces', '1 Tbsp. extra-virgin olive oil', '1 (1"") piece ginger, coarsely chopped', '2 garlic cloves, coarsely chopped', '4 cups low-sodium vegetable broth', '2 Tbsp. white miso', 'Kosher salt, freshly ground pepper', '1 large bunch broccolini (8–10 oz.), halved crosswise, thicker stalks halved lengthwise', '4 (5-oz.) packages wavy ramen noodles, preferably fresh', 'Handful of cilantro leaves with tender stems']"
Spicy Coconut Pumpkin Soup,"['2 tablespoons coconut oil', '1 pound calabaza pumpkin, seeded, peeled, and cut into chunks', '1 small onion, minced', '3 garlic cloves, minced', '1 ají dulce pepper, seeded and minced', '1 teaspoon dark brown sugar', '½ teaspoon ground cumin', '2 cups coconut milk', '1 cup chicken broth or vegetable broth', 'Salt and freshly ground black pepper', '2 tablespoons chopped fresh cilantro']","Coconut oil, brown sugar, cumin, garlic, ají dulce, coconut milk and broth. Add the pumpkin and simmer for 15 minutes.",spicy-coconut-pumpkin-soup,"['2 tablespoons coconut oil', '1 pound calabaza pumpkin, seeded, peeled, and cut into chunks', '1 small onion, minced', '3 garlic cloves, minced', '1 ají dulce pepper, seeded and minced', '1 teaspoon dark brown sugar', '½ teaspoon ground cumin', '2 cups coconut milk', '1 cup chicken broth or vegetable broth', 'Salt and freshly ground black pepper', '2 tablespoons chopped fresh cilantro']"
Baigan Chokha,"['2 large Italian eggplants', '1 tablespoon canola oil', '½ medium onion, chopped', '2 cloves garlic, finely chopped', '1 small tomato, chopped', '¼ teaspoon coarse salt, or to taste', 'Freshly ground black pepper to taste', '1 tablespoon coarsely chopped cilantro', 'Roti, for serving']","Eggplants should be soft to the touch and pulpy, and should easily come away from the skin. Prepare a hot grill or preheat the broiler. Garnish with the cilantro and serve with roti.",baigan-chokha-trinidadian-broiled-grilled-mashed-eggplant,"['2 large Italian eggplants', '1 tablespoon canola oil', '½ medium onion, chopped', '2 cloves garlic, finely chopped', '1 small tomato, chopped', '¼ teaspoon coarse salt, or to taste', 'Freshly ground black pepper to taste', '1 tablespoon coarsely chopped cilantro', 'Roti', 'for serving']"
Dad’s Curried Chicken,"['1 (4-pound) chicken, cut into 8 pieces, skin removed', '1 tablespoon freshly squeezed lime juice', '2 tablespoons Green Seasoning', '1 teaspoon coarse salt', '1 Scotch bonnet pepper or other hot red chili pepper, finely chopped', '2 cloves garlic, crushed', '¼ cup Trinidad Curry Powder', '2 tablespoons canola oil', '1 medium onion, chopped', '1 cup chicken stock or water', 'Roti or white rice, for serving']","Combine the curry powder with just enough water to form a thick paste. Heat the oil in a heavy-bottomed pot. Add the curry paste and onion. Cook, stirring constantly, for 1 to 2 minutes over medium-low heat.",dads-trinidadian-curried-chicken,"['1 (4-pound) chicken, cut into 8 pieces, skin removed', '1 tablespoon freshly squeezed lime juice', '2 tablespoons Green Seasoning', '1 teaspoon coarse salt', '1 Scotch bonnet pepper or other hot red chili pepper, finely chopped', '2 cloves garlic, crushed', '¼ cup Trinidad Curry Powder', '2 tablespoons canola oil', '1 medium onion, chopped', '1 cup chicken stock or water', 'Roti or white rice', 'for serving']"
Trinidad Curry Powder,"['6 cardamom pods', '1 cup coriander seeds', '¼ cup cumin seeds', '1 Tbsp. mustard seeds', '1 Tbsp. fenugreek seeds', '10-15 curry leaves (optional)', '¼ cup whole black peppercorns', '6 whole cloves', '⅓ cup plus 1 Tbsp. ground turmeric']","Cardamom seeds, coriander, seeds, cumin seeds, mustard seeds, fenugreek seeds, and curry leaves toasted. Grind the mixture to a find powder. Store in an airtight container.",trinidad-curry-powder,"['6 cardamom pods', '1 cup coriander seeds', '¼ cup cumin seeds', '1 Tbsp. mustard seeds', '1 Tbsp. fenugreek seeds', '10-15 curry leaves (optional)', '¼ cup whole black peppercorns', '6 whole cloves', '⅓ cup plus 1 Tbsp. ground turmeric']"
Shrimp Creole,"['3 garlic cloves, minced', '2 large onions, chopped fine', '1 cup finely chopped celery (about 2 stalks)', '1 red bell pepper, cut into ½-inch dice', '½ green bell pepper, cut into ½-inch dice', '2 tablespoons olive oil', '2 cups chicken broth', '1 (28-ounce) can whole tomatoes, drained and chopped', '1 bay leaf', '1 teaspoon ground cumin', '1 teaspoon salt, or to taste', '½ teaspoon freshly ground black pepper', '1½ pounds large shrimp (about 32), shelled and deveined', 'Accompaniment: 1 cup uncooked rice, prepared according to package instructions but without butter or margarine']","Garlic, onions, celery, and bell peppers cook in oil over moderately low heat. Add all remaining ingredients except shrimp and simmer, uncovered, 30 minutes. Stir in shrimp and cook, covered, over moderately high heat, stirring occasionally, until shrimp are cooked through, about 5 minutes.",shrimp-creole-14653,"['3 garlic cloves, minced', '2 large onions, chopped fine', '1 cup finely chopped celery (about 2 stalks)', '1 red bell pepper, cut into ½-inch dice', '½ green bell pepper, cut into ½-inch dice', '2 tablespoons olive oil', '2 cups chicken broth', '1 (28-ounce) can whole tomatoes, drained and chopped', '1 bay leaf', '1 teaspoon ground cumin', '1 teaspoon salt, or to taste', '½ teaspoon freshly ground black pepper', '1½ pounds large shrimp (about 32), shelled and deveined', 'Accompaniment: 1 cup uncooked rice', 'prepared according to package instructions but without butter or margarine']"
Green Seasoning,"['3 Tbsp. chopped fresh chives', '1 Tbsp. chopped fresh shado beni or cilantro leaves', '2 Tbsp. chopped fresh thyme', '1 Tbsp. chopped fresh oregano', '1 Tbsp. chopped fresh parsley', '4 cloves garlic']","Use immediately, or store in a tightly sealed glass jar in the refrigerator for up to 1 week. Process all the ingredients in a food processor until the mixture forms a thick paste.",trinidadian-green-seasoning,"['3 Tbsp. chopped fresh chives', '1 Tbsp. chopped fresh shado beni or cilantro leaves', '2 Tbsp. chopped fresh thyme', '1 Tbsp. chopped fresh oregano', '1 Tbsp. chopped fresh parsley', '4 cloves garlic']"
Chicken Pelau,"['1 cup dry or 1 (12-ounce) can pigeon peas, pinto beans, or black-eyed peas', '2 cups long-grain rice', '3 tablespoons canola oil', '3/4 cup sugar (white or brown)', '1 (3-pound) chicken, cut into 8 pieces, skin removed', '1 small onion, chopped', '1 clove garlic, finely chopped', '1 cup coconut milk', '1 bay leaf', '2 teaspoons Green Seasoning', '1/2 cup chopped parsley', '1 sprig thyme', '2 carrots, peeled and chopped', '5 scallions, chopped (white and green parts)', 'Kosher salt', '2 cups cubed fresh calabaza or butternut squash', '1 small whole Scotch bonnet pepper', '1/2 cup ketchup', '1 tablespoon butter']","In Tobago, pelau is often made with crab. West Indian pumpkin (also called calabaza) is ideal for this recipe. Chicken is the most common meat in pelau.",pelau-234498,"['1 cup dry or 1 (12-ounce) can pigeon peas, pinto beans, or black-eyed peas', '2 cups long-grain rice', '3 tablespoons canola oil', '3/4 cup sugar (white or brown)', '1 (3-pound) chicken, cut into 8 pieces, skin removed', '1 small onion, chopped', '1 clove garlic, finely chopped', '1 cup coconut milk', '1 bay leaf', '2 teaspoons Green Seasoning', '1/2 cup chopped parsley', '1 sprig thyme', '2 carrots, peeled and chopped', '5 scallions, chopped (white and green parts)', 'Kosher salt', '2 cups cubed fresh calabaza or butternut squash', '1 small whole Scotch bonnet pepper', '1/2 cup ketchup', '1 tablespoon butter']"
Our Favorite Creamy Mashed Potatoes,"['4 pounds Yukon Gold potatoes, peeled, cut into 2"" pieces', '6 large garlic cloves, peeled', '1 tablespoon plus 2 teaspoons kosher salt, divided, plus more', '1 1/4 cups whole milk', '4 thyme sprigs', '3/4 cup (1 1/2 sticks) plus 2 tablespoons unsalted butter, divided', '3/4 teaspoon freshly ground black pepper, plus more', '1/2 cup sour cream', 'A potato ricer or food mill']","Mashed potatoes can be made 2 hours ahead; cover and store at room temperature. Or chill, covered, up to 8 hours.",our-favorite-creamy-mashed-potatoes,"['4 pounds Yukon Gold potatoes, peeled, cut into 2"" pieces', '6 large garlic cloves, peeled', '1 tablespoon plus 2 teaspoons kosher salt, divided, plus more', '1 1/4 cups whole milk', '4 thyme sprigs', '3/4 cup (1 1/2 sticks) plus 2 tablespoons unsalted butter, divided', '3/4 teaspoon freshly ground black pepper, plus more', '1/2 cup sour cream', 'A potato ricer or food mill']"
Remember the Alimony,"['¾ oz (22 ml) London Dry gin', '1½ oz (45 ml) Cynar', '1½ oz (45 ml) Fino sherry', 'Orange twist, to garnish']",Combine all the ingredients in a chilled rocks glass. Add one large ice cube and stir for 10 seconds. Garnish with an orange twist.,remember-the-alimony-cocktail,"['¾ oz (22 ml) London Dry gin', '1½ oz (45 ml) Cynar', '1½ oz (45 ml) Fino sherry', 'Orange twist', 'to garnish']"
Creole Cream Cheesecake With Caramel-Apple Topping,"['2 cups graham cracker crumbs (about 16 whole crackers)', '3 tablespoons granulated sugar', '3 tablespoons firmly packed light brown sugar', '1⁄4 teaspoon kosher salt', '1⁄2 cup unsalted butter, melted', '2 pounds cream cheese, at room temperature', '1 cup granulated sugar', '1⅓ cups Creole Cream Cheese', '1 teaspoon vanilla bean paste', '2 eggs, at room temperature', 'Ingredient Info: You can substitute 1 cup sour cream mixed with 1⁄4 cup buttermilk for the 1⅓ cups Creole Cream Cheese.', '3¾ tablespoons unsalted butter', '3⁄4 cup granulated sugar', '1⁄4 cup firmly packed light brown sugar', '1½ tablespoons honey', '4 cups peeled, cored, and evenly chopped Granny Smith apples (about 7)', '1½ teaspoons finely grated lemon zest', '1 tablespoon fresh lemon juice', '3⁄4 teaspoon kosher salt', '3⁄4 teaspoon ground cinnamon', '1⁄3 teaspoon ground cardamom', '1⁄3 teaspoon ground ginger', '1 teaspoon vanilla extract']","In a large heavy-bottomed sauté pan, heat the butter until melted. Stir in the granulated sugar, brown sugar, and honey and let cook until bubbling. Add the apples and toss to coat. Cook for about 4 minutes, or until the apples just start to soften.",creole-cream-cheesecake-with-caramel-apple-topping,"['2 cups graham cracker crumbs (about 16 whole crackers)', '3 tablespoons granulated sugar', '3 tablespoons firmly packed light brown sugar', '1⁄4 teaspoon kosher salt', '1⁄2 cup unsalted butter, melted', '2 pounds cream cheese, at room temperature', '1 cup granulated sugar', '1⅓ cups Creole Cream Cheese', '1 teaspoon vanilla bean paste', '2 eggs, at room temperature', 'Ingredient Info: You can substitute 1 cup sour cream mixed with 1⁄4 cup buttermilk for the 1⅓ cups Creole Cream Cheese.', '3¾ tablespoons unsalted butter', '3⁄4 cup granulated sugar', '1⁄4 cup firmly packed light brown sugar', '1½ tablespoons honey', '4 cups peeled, cored, and evenly chopped Granny Smith apples (about 7)', '1½ teaspoons finely grated lemon zest', '1 tablespoon fresh lemon juice', '3⁄4 teaspoon kosher salt', '3⁄4 teaspoon ground cinnamon', '1⁄3 teaspoon ground cardamom', '1⁄3 teaspoon ground ginger', '1 teaspoon vanilla extract']"
Creole Cream Cheese,"['2 quarts skim milk', '1⁄4 cup buttermilk', '1 rennet tablet']",Warm the milk and buttermilk to 85°F. Add one-quarter of the rennet tablet and transfer the mixture to a plastic container or bowl. Cover with plastic wrap and then poke a few holes to allow the steam to escape. Let stand at room temperature in a cool spot in your house for 48 hours.,creole-cream-cheese,"['2 quarts skim milk', '1⁄4 cup buttermilk', '1 rennet tablet']"
